NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
3.98,6.02,16.21,51.68,0.21,0.31,10.26,1.61,0.18,8.65,3.76,307.0,200.0,,76.0,45.0,172.0,34.0,125.0,8.0,,,,13.35,4.18,,,,,,,,,,,,BACK-ARC_BASIN,144.778,17.953,,1985; 1985; 1987
3.1129,8.0967,15.5186,49.5134,0.2124,0.3653,10.6462,1.6589,0.1366,8.69,5.34313711790078,245.171735794947,410.40435884133,,,73.438321597059,175.267159940653,36.3720126011115,136.906593354711,9.25446696178861,7.09197368517669,19.0548988240403,2.83872762701539,15.3297199596947,5.12910587108642,1.87180590686343,7.07849321786666,1.21658284088366,7.61664006964135,1.56255810958546,4.59157330904137,3.85568786166373,0.605762279852099,3.52988921448188,0.681030834997509,0.550501859933529,BACK-ARC_BASIN,139.717,20.87,NEOGENE,2010
3.06,10.51,16.66,51.43,0.23,0.59,7.2,1.53,0.14,,5.0,278.0,266.0,,126.0,121.0,277.0,20.0,99.0,8.6,8.5,18.4,2.4,10.3,2.9,1.1,3.5,0.6,3.6,0.7,2.0,1.7,0.2,,,1.0,BACK-ARC_BASIN,138.231,40.19,,1992
3.0,6.41,15.85,49.252,0.21,0.68,10.93,2.04,0.16,10.13,15.4,286.0,430.0,,159.0,199.0,216.0,32.0,162.0,24.0,19.0,28.0,,18.65,4.76,,,,,,,,,,,2.0,BACK-ARC_BASIN,173.477,-13.543,,1993
2.35,7.86,14.65,49.5,0.1,0.1,12.59,1.44,0.18,,2.0,285.0,197.0,44.0,79.0,25.0,104.0,,,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,173.38,-19.936,,1991
2.91,6.36,13.84,51.37,0.22,0.26,10.98,2.03,0.24,10.31,4.0,510.0,134.0,,89.0,69.0,167.0,51.0,124.0,1.0,,9.0,,,,,,,,,,,,,,,BACK-ARC_BASIN,175.902,-13.565,,1993
2.2,7.64,16.21,49.63,0.07,0.07,12.95,0.97,0.18,8.89,4.09,,282.0,,152.4,11.89,115.5,20.5,47.3,0.6,0.59,1.59,0.27,1.41,0.45,0.19,,0.12,0.97,0.23,0.7,0.8,,,0.1,,BACK-ARC_BASIN,-176.067,-20.163,,2008
1.45,7.58,16.03,50.74,0.07,0.16,13.02,0.73,0.18,9.25,,169.0,180.0,28.0,51.0,,158.0,,38.0,,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-176.635,-22.29,,1990
3.09,8.12,17.97,49.14,0.08,0.07,11.57,0.88,0.28,,0.0,200.0,317.0,,101.0,17.0,179.0,21.0,54.0,,,9.0,,8.3,2.07,,,,,,,,,,,,BACK-ARC_BASIN,134.536,38.616,CENOZOIC,1992
2.08,8.93,17.81,48.34,0.14,0.02,13.52,0.73,0.16,8.53,0.2,219.0,,,114.0,18.0,150.0,20.0,48.0,1.0,,,,,,,,,,,,,,,,,BACK-ARC_BASIN,-176.5,-20.1416,,1994
