TECTONIC SETTING,longitude,latitude,NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM)
BACK-ARC_BASIN,138.986,31.5308,2.409319838216227,7.643079619121702,16.763325550400342,49.697493796329276,0.2181628788282172,0.601,11.8690415728723,0.9125062195461716,0.16658180730722685,8.756449059337484,14.8,278.97327679908096,242.1879193869647,45.50788054392539,72.48029394307676,48.9,443.0,19.9,39.6,1.21,6.75,16.6,2.49,12.51,2.9,1.01,3.12,0.49,3.05,0.68,1.83,1.62,0.24,1.05,0.1852838531500921,0.65
BACK-ARC_BASIN,139.53,31.76,2.4734248177838505,7.679222408255056,16.322797947517,50.17017513159379,0.1337201303996418,0.3159219712403051,11.784797362724696,0.9897204543299526,0.1648633866237317,8.782344018724388,3.3599999999999994,289.0,286.2,42.2,105.7,31.68,236.0,21.5,52.2,1.13,3.38,9.16,1.54,8.01,2.48,0.92,3.09,0.54,3.43,0.73,2.07,1.91,0.29,1.32,0.08000000000000003,0.529
BACK-ARC_BASIN,149.857,-3.545,2.36,6.77,13.9,51.3,0.11,0.06,11.6,1.39,0.19,12.6,3.4703103251610887,314.62121775950936,209.27273205533828,43.74612520493957,147.00046738748978,51.71343152581014,106.26135097160808,30.77507076376521,84.96182229627487,3.749900405317764,4.6030125983445,11.153884580533504,2.1058561204303587,10.523864048115653,3.1737027240925784,1.1118345361475126,3.8300092103581873,0.6679244096408407,4.615918155066477,1.0032770136472664,2.8332468020987784,2.6695465282378223,0.4280682634077033,2.336703589506808,0.31412493500547906,1.4903446916605103
BACK-ARC_BASIN,115.04700000000001,12.9196,3.03,6.54,18.37,51.62,0.17,0.15,11.82,1.5,0.14,8.978143608134273,6.406288439138652,281.0,319.0,35.0,94.66524770266231,194.0,144.0,33.016582750674075,149.0,7.0509576450241696,7.3865550240279925,18.667827614104226,2.227666149682749,12.177070755313215,3.6053073595696232,1.2738423086863335,3.879335902888839,0.7088859026676539,4.576662359675283,0.9770301879319646,2.8182146533870736,2.5076372467331143,0.42697278639979386,2.9901872703496424,0.36884995073654137,1.2353967332802456
BACK-ARC_BASIN,-174.842,-15.6615,2.81,6.88,15.47,51.38,0.13,0.31,11.14,1.16,0.19,9.704658086482732,6.6,300.2,178.0,42.55223160455552,67.8,42.0,137.9,31.2,76.8,2.8,4.5862371218639035,12.193504435338305,2.0936908446491107,10.3815394749961,3.2007665516637607,1.1133590304808023,3.873948891319548,0.6871322135944603,4.6553008229531,1.012047969857708,2.8858394661192617,2.7971436750023204,0.4319868577730476,2.2060357952652816,0.2615199029037285,1.202335814931095
BACK-ARC_BASIN,137.441,29.3275,2.6,7.03,15.9,49.8,0.12,0.26,12.4,1.27,0.15,8.593578407389296,6.0,254.66093944552955,310.0,42.486056250640004,96.0,32.0,173.0,30.0,91.0,3.0,4.0,11.0,1.8037624347505359,9.696055401536904,3.1234555330456013,1.1526317644960071,3.863701694379661,0.6580858944396178,4.621094896461365,1.007249740779978,2.8759469730609992,2.656712419482977,0.4184413549538557,2.234457894574298,0.21912254908381204,1.3594568938958882
BACK-ARC_BASIN,-174.817,-15.6533,2.59,8.4,16.58,49.57,0.07,0.07999999999999999,11.88,1.09,0.17,8.763842555212294,3.2,247.8,360.6,45.91717206384154,123.2,23.0,136.1,25.5,73.0,2.9,3.631,10.4,1.5,9.19,2.79,1.1,4.36,0.6892998544286422,5.07,1.012376920141566,3.11,2.69,0.4207028404922604,2.06,0.21302251692606933,0.5854749281924865
BACK-ARC_BASIN,-176.08,-19.908,2.2582558459548654,8.268104562846247,14.814709329534285,50.50307871138176,0.1040726855341287,0.08674146342129391,11.63745650046107,1.0896873510236205,0.1678133184087308,8.987087184987404,0.508,296.533,249.773,44.682,85.679,5.433,66.368,26.619,49.153,0.8369999999999997,1.4539999999999995,4.975,0.926,5.502999999999999,2.052,0.8,3.295,0.61,4.143,0.929,2.67,2.7030000000000003,0.419,1.4169999999999998,0.065,0.07099999999999995
BACK-ARC_BASIN,-176.13299999999995,-20.566999999999997,1.71,8.45,16.02,51.2,0.06,0.11,12.47,0.69,0.15,8.564527419489869,3.0,294.0,324.0,31.0,98.0,51.335996546209365,124.0,21.563763523812288,50.42046648849087,3.145251128114622,4.337927118284783,9.805082021015998,2.071563407233496,9.763428876142507,2.950033516687299,1.0510608502331902,3.742719015143857,0.6355138007917264,4.395425364844504,0.9590471854467842,2.7535795020671867,2.5462950751784343,0.4080159606751887,2.2124855514760737,0.28447184582258994,1.3414840524058669
BACK-ARC_BASIN,173.75799999999995,-17.5693,2.86,8.97,16.11,49.24,0.08,0.09999999999999998,12.15,1.23,0.18,9.04,3.725750741620016,256.4372906547483,289.052179307357,42.31308569788677,119.42343292671836,45.92368610618354,156.33036596148295,24.304461934136853,86.62855534476509,3.7160710812565045,4.64450580098408,11.03323888524482,2.088925098801216,10.357606097249006,3.117396833150726,1.107506349955917,3.817517778688148,0.6480146716100978,4.4969078853606055,0.9661767225418101,2.7822929975049906,2.517204233028352,0.4034119547338764,2.3265356510357424,0.3132001612972059,1.3345783385768648
