NA2O(WT%),MGO(WT%),AL2O3(WT%),SIO2(WT%),P2O5(WT%),K2O(WT%),CAO(WT%),TIO2(WT%),MNO(WT%),FEOT(WT%),RB(PPM),V(PPM),CR(PPM),CO(PPM),NI(PPM),BA(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),TH(PPM),TECTONIC SETTING,longitude,latitude,AGE,PUBLICATION_YEAR
2.23,8.78,16.56,50.41,0.31,1.02,10.55,0.71,0.16,,22.0,,689.0,38.0,104.0,403.0,772.0,19.0,93.0,11.0,29.0,54.0,,24.0,4.0,1.3,,0.51,,,,1.8,0.27,1.6,0.5,4.7,Continental arc,11.366,38.55,PLEISTOCENE,1998
2.39,8.51,15.24,50.11,0.24,0.48,9.57,1.33,0.19,9.81,10.0,220.0,396.0,49.0,123.0,192.0,396.3,19.2,104.4,9.6,16.2,,,,,,,,,,,,,,,2.7,Continental arc,129.7,33.1,CENOZOIC,2009
1.79,5.88,17.14,52.12,0.18,0.26,10.75,0.76,0.13,,11.0,219.0,184.0,29.0,78.0,177.0,302.0,17.0,51.0,5.0,8.0,20.0,,,,,,,,,,,,,,2.0,Continental arc,8.75,39.8,NEOGENE,1994
2.79,7.43,14.91,52.82,0.14,0.96,9.89,0.86,0.16,7.99,11.0,249.0,216.0,,58.0,298.0,362.0,15.0,80.0,1.0,0.0,14.0,,8.0,,,,,,,,,,,,,Continental arc,160.63,56.05,HOLOCENE,1994
3.045,4.714,17.006,50.724,0.285,1.287,8.569,1.114,0.149,8.98,29.9298763,,64.0525131,,24.0349712,460.783905,453.31778,29.2120686,128.016388,3.78738046,11.3206129,27.3379269,3.91811109,19.1553936,4.99997902,1.56257343,5.31927299,0.797917306,4.91271782,0.858775437,2.721596,2.83838463,0.435980767,3.20258832,0.22832112,1.02726209,Continental arc,160.464,55.784,,2015
3.72,7.8,16.1,48.7,0.46,1.68,8.4,1.62,0.19,,22.0,212.0,255.0,38.0,133.0,238.0,626.0,30.0,155.0,,,,,,,,,,,,,,,,,,Continental arc,158.07,53.93,,2000
2.14,8.23,15.33,48.04,0.12,0.48,8.62,0.98,0.16,,9.0,,,,,139.0,315.0,,,,6.04,13.5,,9.07,2.85,1.14,3.66,,3.46,,1.78,1.42,0.197,,,,Continental arc,135.75,34.1,PERMIAN,1977; 1979
3.97,5.0,17.59,51.36,0.37,1.06,8.17,1.52,0.11,8.02,7.0,165.0,195.0,,109.0,,582.0,26.0,184.0,11.0,,,,,,,,,,,,,,,,,Continental arc,139.75,39.75,OLIGOCENE,2000
2.78,9.56,16.01,52.5,0.17,0.51,9.18,0.78,0.14,,11.0,173.0,528.0,,182.0,187.0,377.0,21.0,78.0,10.0,,,,,3.7,,4.18,,,,,,,,,,Continental arc,131.05,33.5,,2008
3.03,6.1,16.4,50.4,0.3,1.48,9.32,1.4,0.19,10.17,36.6,323.0,196.0,37.1,52.0,297.0,304.0,26.1,,,16.8,35.4,4.46,19.1,4.65,1.37,4.84,0.769,4.7,0.955,2.62,2.58,,,,5.69,Continental arc,109.166,-7.233,,2022
2.52,5.75,17.63,51.81,0.13,0.43,11.25,1.02,0.13,7.38,7.0,256.0,192.0,37.0,27.0,176.0,462.0,24.0,111.0,3.0,9.9,24.4,,,2.76,1.25,,,,,,1.98,0.32,2.36,,2.19,Continental arc,134.75,35.325,,2002
3.45,5.91,17.41,50.08,0.23,0.09,10.86,1.7,0.17,,1.0,242.0,290.0,45.0,102.0,26.0,217.0,36.0,118.0,3.0,4.03,14.2,,12.3,4.38,1.47,5.52,,4.76,,2.98,2.59,0.5,,,,Continental arc,134.952,32.355,,1993
