CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,AGE,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
[20709],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN,,65.173,65.173,-49.8226,-49.8226,SAE,,,s_SM/GR/98/21 [20709],BASALT [20709],,,PALEO [20709],ARCHEAN [20709],,,,,VOL,,,,,WR [20709] ,46.6608,0.26853,,15.87785,,,,11.46,5.434130000000001,13.33208,0.18495,,0.06897,1.46783,0.02907,,,,,,,,,,,,,,,,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.95,,186.1,592.85,,,71.5,263.9,0.41700000000000004,104.8,12.7,,,,,0.519,32.95,11.0,10.31,0.462,,,,0.01059,,,,,,,,0.015,4.803,0.75,2.07,0.34299999999999997,1.696,0.5589999999999999,0.131,0.9129999999999999,0.192,1.454,0.363,1.126,,1.331,0.21899999999999997,,0.068,0.044000000000000004,0.000127,6.4e-05,0.0002,0.01414,,,,1.506,,0.266,0.05,,,,,,,,,,,,,,,1.1609,,10.79,,,,,,,,1111128.0,
[20709],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN,,65.1806,65.1806,-49.8048,-49.8048,SAE,,,s_SM/GR/98/23 [20709],BASALT [20709],,,PALEO [20709],ARCHEAN [20709],,,,,VOL,,,,,WR [20709] ,51.205940000000005,0.8418,,11.50136,,,,16.4,7.777989999999999,6.91821,0.21422,,1.20892,1.31476,0.046830000000000004,,,,,,,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.14,,222.7,295.35,,,64.61,120.8,20.915,119.9,16.57,,,,,42.99,14.09,17.91,45.14,2.226,,0.000549,,0.00865,,,,,,,,2.449,79.57,3.182,8.543,1.5090000000000001,7.7860000000000005,2.548,0.937,3.178,0.544,3.315,0.669,1.739,,1.631,0.245,,0.16399999999999998,0.16699999999999998,0.000147,6.6e-05,0.00028399999999999996,0.00855,,,,2.523,,0.491,0.10300000000000001,,,,,,,,,,,,,,,1.0367,,12.07,,,,,,,,1111129.0,
[20709],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN,,65.1806,65.1806,-49.8048,-49.8048,SAE,,,s_SM/GR/98/26 [20709],BASALT [20709],,,PALEO [20709],ARCHEAN [20709],,,,,VOL,,,,,WR [20709] ,60.87973,0.7127100000000001,,9.22649,,,,9.82,8.34801,3.57865,0.21108000000000002,,0.49938999999999995,2.0464599999999997,0.09801,,,,,,,,,,,,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.03,,197.2,228.0,,,39.43,84.2,173.35,64.68,10.82,,,,,23.31,109.0,16.58,48.6,1.931,,0.000285,,0.00861,,,,,,,,1.494,23.76,3.852,9.811,1.713,9.026,2.7430000000000003,0.8270000000000001,3.327,0.541,3.15,0.62,1.5830000000000002,,1.476,0.228,,0.128,0.213,0.000883,7.900000000000001e-05,0.000213,0.00801,,,,5.093999999999999,,0.41200000000000003,0.12,,,,,,,,,,,,,,,8.359,,111.88,,,,,,,,1111130.0,
[20709],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / GODTHAAB COMPLEX,ORTHOGNEISS TERRANE SOUTH OF ISUA SUPRACRUSTAL BELT,65.0,65.0,-50.0,-50.0,SAE,,,s_SM/GR/98/35 [20709],BASALT [20709],,,PALEO [20709],ARCHEAN [20709],,,,,VOL,,,,,WR [20709] ,44.26955,0.8841600000000001,,12.11895,,,,16.05,10.941360000000001,4.8547,0.26458000000000004,,1.39992,1.45165,0.07268,,,,,,,,,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.68,,200.9,123.7,,,59.64,76.2,264.75,113.5,15.6,,,,,56.97,67.16,21.7,53.39,2.259,,0.000379,,0.01228,,,,,,,,3.1210000000000004,66.18,4.4719999999999995,11.05,1.892,9.424,2.785,1.004,3.533,0.614,3.801,0.785,2.125,,2.008,0.319,,0.159,0.521,0.0032600000000000003,0.000149,0.00022799999999999999,0.00943,,,,8.538,,0.392,0.11900000000000001,,,,,,,,,,,,,,,28.71,,500.48,,,,,,,,1111131.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER),,65.1803,65.1803,-49.8046,-49.8046,SAE,,,s_462923 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,52.57,0.86,,11.34,,,,11.94,10.62,7.57,0.26,,0.15,3.3,0.06,,,,,,,,,,,,,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,276.0,259.0,,,70.0,114.0,,,12.0,,,,,1.24,123.5,18.0,66.7,3.39,,,,,,,,,,,,,5.0,4.588,11.578,1.766,8.135,2.513,1.026,3.4589999999999996,0.5539999999999999,3.5210000000000004,0.698,1.9609999999999999,0.27699999999999997,1.704,0.242,1.767,0.14,,,,,,,,,5.45,,0.5,0.11,0.512482,,,0.746003,,12.732000000000001,,13.814,,32.657,,,,,,,,0.281765,,,,,,,120037.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / CENTRAL ISUA TECTONIC DOMAIN (GARBENSCHIEFER),,65.1803,65.1803,-49.8046,-49.8046,SAE,,,s_462924 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,54.52,0.84,,11.02,,,,10.99,11.78,5.71,0.25,,0.22,3.38,0.06,,,,,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,220.0,283.0,,,60.0,109.0,,,13.0,,,,,3.56,139.3,19.8,64.9,2.71,,,,,,,,,,,,,8.0,5.466,13.325,2.0069999999999997,9.013,2.745,1.024,3.804,0.596,3.94,0.794,2.174,0.314,1.975,0.282,1.69,0.16,,,,,,,,,4.4,,0.53,0.151,0.512497,,,0.748893,,12.8,,13.859000000000002,,32.753,,,,,,,,0.281975,,,,,,,120038.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462955 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,54.76,0.88,,11.89,,,,10.45,12.72,4.88,0.25,,0.47,2.47,0.08,,,,,,,,,,,,,,,,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,190.0,255.0,,,54.0,87.0,,,13.0,,,,,12.392000000000001,277.7,19.9,62.1,2.68,,,,,,,,,,,,,51.0,6.359,15.193,2.2159999999999997,10.176,2.9930000000000003,1.16,3.9360000000000004,0.621,3.8939999999999997,0.777,2.154,0.3,1.3259999999999998,0.259,1.94,0.16,,,,,,,,,6.13,,0.43,0.11199999999999999,0.512328,,,0.7243310000000001,,12.700999999999999,,13.869000000000002,,32.554,,,,,,,,,,,,,,,120039.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462956 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,52.96,0.9,,11.72,,,,11.71,13.0,5.37,0.26,,0.31,2.4,0.07,,,,,,,,,,,,,,,,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,226.0,195.0,,,39.0,92.0,,,15.0,,,,,5.297999999999999,193.3,19.2,65.7,2.92,,,,,,,,,,,,,27.0,6.271,15.199000000000002,2.2680000000000002,10.796,3.1210000000000004,1.006,3.7560000000000002,0.585,3.4589999999999996,0.708,1.9909999999999999,0.308,1.858,0.24600000000000002,1.7919999999999998,0.16,,,,,,,,,5.99,,0.48,0.125,0.512254,,,0.72797,,12.672,,13.841,,32.514,,,,,,,,0.281909,,,,,,,120040.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462957 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,55.88,0.88,,11.68,,,,10.45,11.48,4.76,0.21,,0.19,3.22,0.08,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,,228.0,256.0,,,54.0,105.0,,,14.0,,,,,0.963,181.0,19.1,67.5,2.74,,,,,,,,,,,,,12.0,5.053,12.530999999999999,1.893,8.637,2.635,0.87,3.529,0.563,3.642,0.696,1.933,0.276,1.821,0.24600000000000002,1.93,0.15,,,,,,,,,5.12,,0.46,0.13,0.512391,,,0.7176520000000001,,12.696,,13.825,,32.861,,,,,,,,,,,,,,,120041.0,
[5951][8697],ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / WESTERN ISUA TECTONIC DOMAIN,,65.1871,65.1871,-49.8109,-49.8109,SAE,,,s_462958 [5951],BASALT [5951],3700000000 [5951],3800000000 [5951],PALEO [8697],ARCHEAN [5951],,,,,VOL,,,,,WR [5951] ,53.75,0.89,,11.75,,,,11.54,10.59,6.59,0.25,,0.17,3.13,0.06,,,,,,,,,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,231.0,168.0,,,60.0,98.0,,,14.0,,,,,0.7390000000000001,199.9,17.3,66.8,2.85,,,,,,,,,,,,,10.0,5.331,13.161,1.973,9.91,2.81,0.951,3.46,0.546,3.449,0.6779999999999999,1.851,0.263,1.649,0.243,2.12,0.16,,,,,,,,,6.64,,0.51,0.115,0.5123409999999999,,,0.717992,,12.421,,13.722999999999999,,32.348,,,,,,,,,,,,,,,120042.0,
