Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS13,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.998713136,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WS13,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,53.26,0.86,,14.83,,,,10.23,8.31,6.48,0.2,,0.57,2.83,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,81.0,,,,,,,,7.0,236.0,16.39,61.0,0.49,,,,,,,,,,,,,128.0,6.78,15.24,1.95,8.19,2.2,0.7,2.91,0.54,3.51,0.74,2.26,,2.24,0.36,2.44,0.04,,,,,,,,,,,1.24,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS28,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.001830078,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WS28,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.53,0.89,,13.68,,,,12.23,11.15,6.46,0.22,,0.2,1.86,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,51.0,,,,,,,,7.0,127.0,20.0,52.0,2.2,,,,,,,,,,,,,70.0,5.18,12.37,1.77,8.18,2.49,0.83,3.45,0.67,4.48,0.94,2.7,,2.78,0.42,2.07,0.2,,,,,,,,,,,0.5,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WS30,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.982981145,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WS30,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,50.32,1.04,,14.65,,,,11.26,8.87,7.01,0.21,,0.41,2.38,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,55.0,,,,,,,,7.0,165.0,12.55,30.0,0.36,,,,,,,,,,,,,55.0,4.02,8.5,1.15,5.37,0.4,0.63,2.01,0.38,2.63,0.57,1.71,,1.9,0.28,1.24,0.02,,,,,,,,,,,0.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR7,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.592684984,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR7,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.5,0.79,,14.29,,,,12.32,10.71,7.18,0.23,,0.62,2.11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0,,,,60.0,,,,,,,,14.0,146.0,16.79,48.0,1.91,,,,,,,,,,,,,98.0,4.73,11.16,1.56,6.95,1.86,0.6,2.78,0.48,3.12,0.7,1.86,,,0.28,1.41,0.09,,,,,,,,,,,0.25,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR9,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.959673107,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR9,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.76,0.81,,14.13,,,,12.26,10.53,7.39,0.24,,0.69,1.53,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,69.0,,,,,,,,36.0,130.0,17.29,49.0,,,,,,,,,,,,,,80.0,5.12,12.26,1.63,7.68,2.14,0.59,2.77,0.48,3.38,0.7,1.95,,1.84,0.29,1.52,,,,,,,,,,,,0.25,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR10,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.955032825,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR10,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.65,0.74,,14.08,,,,12.29,10.76,7.5,0.25,,0.58,1.61,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,67.0,,,,,,,,22.0,13.0,15.85,44.0,1.31,,,,,,,,,,,,,85.0,4.87,10.95,1.5,6.8,0.86,0.56,2.73,0.41,2.92,0.65,1.77,,1.62,0.27,1.31,0.01,,,,,,,,,,,0.24,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR11,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.78845197,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR11,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,50.04,0.76,,14.35,,,,12.18,10.75,7.2,0.27,,0.52,1.61,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,,,,64.0,,,,,,,,16.0,146.0,17.01,49.0,1.71,,,,,,,,,,,,,87.0,5.64,12.7,1.72,7.09,2.19,0.54,2.85,0.46,3.15,0.64,1.91,,1.77,0.27,1.43,0.03,,,,,,,,,,,0.32,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR12,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.691453278,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR12,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.29,0.62,,13.8,,,,12.3,10.55,8.21,0.22,,0.52,1.46,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,67.0,,,,,,,,17.0,116.0,13.37,35.0,1.27,,,,,,,,,,,,,112.0,4.57,10.4,1.39,6.13,1.62,0.43,2.15,0.35,2.51,0.53,1.43,,1.28,0.2,0.99,0.01,,,,,,,,,,,0.28,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR13,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.971538007,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR13,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.52,0.77,,13.86,,,,12.49,10.73,7.82,0.22,,0.49,1.13,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,66.0,,,,,,,,13.0,119.0,16.62,43.0,0.59,,,,,,,,,,,,,104.0,5.49,12.33,1.7,7.34,1.94,0.62,2.59,0.44,3.06,0.63,1.74,,1.69,0.26,1.25,,,,,,,,,,,,0.33,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,
North China Craton,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,WR15,BASALT,38.5,113.0,2500.0,ARCHEAN,2500.0,2538.9,2543.0,2547.1,0.970387638,A MORB-ARC BASALT-ADAKITE ASSOCIATION IN THE 2.5 GA WUTAI GREENSTONE BELT: LATE ARCHEAN MAGMATISM AND CRUSTAL GROWTH IN THE NORTH CHINA CRATON,ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),North China Craton,,38.5,38.5,113.0,113.0,,,,WR15,BASALT,2500000000.0,2500000000.0,PALEO,,,,,BASALT,,,,,WR,49.09,0.81,,13.93,,,,14.77,10.27,7.4,0.24,,0.66,1.53,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,62.0,,,,,,,,13.0,115.0,18.37,50.0,,,,,,,,,,,,,,129.0,5.41,12.17,1.77,7.52,1.93,0.6,2.9,0.47,3.52,0.68,1.92,,1.83,0.28,1.42,,,,,,,,,,,,0.27,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,
