Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,CITATIONS,TECTONIC SETTING,LOCATION,LOCATION COMMENT,LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,LAND OR SEA,ELEVATION MIN,ELEVATION MAX,SAMPLE NAME,ROCK NAME,MIN. AGE (YRS.),MAX. AGE (YRS.),GEOL.,ERUPTION DAY,ERUPTION MONTH,ERUPTION YEAR,ROCK TEXTURE,ROCK TYPE,DRILL DEPTH MIN,DRILL DEPTHAX,ALTERATION,MINERAL,MATERIAL,SIO2(WT%),TIO2(WT%),B2O3(WT%),AL2O3(WT%),CR2O3(WT%),FE2O3(WT%),FEO(WT%),FEOT(WT%),CAO(WT%),MGO(WT%),MNO(WT%),NIO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),H2O(WT%),H2OP(WT%),H2OM(WT%),H2OT(WT%),CO2(WT%),CO1(WT%),F(WT%),CL(WT%),CL2(WT%),OH(WT%),CH4(WT%),SO2(WT%),SO3(WT%),SO4(WT%),S(WT%),LOI(WT%),VOLATILES(WT%),O(WT%),OTHERS(WT%),HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),LI(PPM),BE(PPM),B(PPM),C(PPM),CO2(PPM),F(PPM),NA(PPM),MG(PPM),AL(PPM),P(PPM),S(PPM),CL(PPM),K(PPM),CA(PPM),SC(PPM),TI(PPM),V(PPM),CR(PPM),MN(PPM),FE(PPM),CO(PPM),NI(PPM),CU(PPM),ZN(PPM),GA(PPM),GE(PPM),AS(PPM),SE(PPM),BR(PPM),RB(PPM),SR(PPM),Y(PPM),ZR(PPM),NB(PPM),MO(PPM),RU(PPM),RH(PPM),PD(PPM),AG(PPM),CD(PPM),IN(PPM),SN(PPM),SB(PPM),TE(PPM),I(PPM),CS(PPM),BA(PPM),LA(PPM),CE(PPM),PR(PPM),ND(PPM),SM(PPM),EU(PPM),GD(PPM),TB(PPM),DY(PPM),HO(PPM),ER(PPM),TM(PPM),YB(PPM),LU(PPM),HF(PPM),TA(PPM),W(PPM),RE(PPM),OS(PPM),IR(PPM),PT(PPM),AU(PPM),HG(PPM),TL(PPM),PB(PPM),BI(PPM),TH(PPM),U(PPM),ND143_ND144,ND143_ND144_INI,EPSILON_ND,SR87_SR86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID,Unnamed: 171
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",VB-1,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.003813402,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,VB-1,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,53.3,0.89,,13.4,,,,13.05,8.46,4.9,0.25,,0.1,3.2,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,428.0,38.0,,,37.0,81.0,,,,,,,,0.7,94.0,,58.0,2.61,,,,,,,,,,,,0.04,18.0,8.38,19.5,2.57,12.6,3.69,1.59,5.15,0.92,7.1,1.75,5.6,,6.32,0.99,1.8,0.17,,,,,,,,,47.0,,0.35,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",VA,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.084668271,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,VA,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,50.9,0.97,,13.6,,,,15.66,6.36,6.3,0.3,,,3.3,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,416.0,154.0,,,52.0,73.0,,,,,,,,0.3,26.0,,70.0,2.79,,,,,,,,,,,,0.05,16.0,4.02,11.5,1.65,7.88,2.49,0.44,3.53,0.66,5.36,1.31,4.75,,5.29,0.87,2.0,0.17,,,,,,,,,35.0,,0.42,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V44-2,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.031693321,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V44-2,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,49.1,0.47,,17.7,,,,8.91,11.7,8.4,0.16,,,1.2,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,255.0,135.0,,,42.0,75.0,,,,,,,,0.5,140.0,,23.0,1.16,,,,,,,,,,,,0.04,7.0,1.0,2.49,0.37,2.08,0.61,0.26,0.88,0.16,1.26,0.32,1.27,,1.58,0.26,0.5,0.06,,,,,,,,,12.2,,0.15,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V17-2,BASALT,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.770442665,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V17-2,BASALT,2700000000.0,2700000000.0,PALEO,,,,,BASALT,,,,,WR,49.7,0.83,,13.7,,,,11.97,10.39,7.3,0.23,,2.4,0.7,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,328.0,153.0,,,47.0,80.0,,,,,,,,25.0,526.0,,49.0,2.3,,,,,,,,,,,,2.0,189.0,3.66,8.87,1.27,6.64,2.15,0.77,3.01,0.49,3.5,0.78,2.47,,2.36,0.37,1.5,0.15,,,,,,,,,20.7,,0.31,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V44-3,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.972293139,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V44-3,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,50.34,0.46,,18.04,,,,10.66,6.46,10.91,0.18,,1.82,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,207.0,98.0,,,49.0,80.0,,,,,,,,2.0,99.0,,22.0,1.01,,,,,,,,,,,,,32.0,1.34,3.39,0.44,2.27,0.66,0.38,0.94,0.18,1.62,0.37,1.36,,1.78,0.3,0.63,0.06,,,,,,,,,11.44,,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V53,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.883591831,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V53,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,47.9,0.44,,18.8,,,,9.09,10.7,9.3,0.19,,0.2,2.1,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,151.0,219.0,,,107.0,231.0,,,,,,,,6.0,187.0,,24.0,1.08,,,,,,,,,,,,0.35,39.0,1.66,4.32,0.61,3.12,0.95,0.39,1.3,0.22,1.79,0.43,1.49,,1.91,0.28,0.7,0.08,,,,,,,,,9.6,,0.15,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V47,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.726993024,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V47,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,47.8,0.27,,17.5,,,,9.0,8.29,11.4,0.19,,0.8,2.4,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,165.0,179.0,,,37.0,295.0,,,,,,,,36.6,176.0,,19.0,0.78,,,,,,,,,,,,1.61,161.0,1.54,3.41,0.48,2.37,0.65,0.31,1.06,0.18,1.61,0.38,1.35,,1.6,0.25,0.5,0.05,,,,,,,,,9.6,,0.14,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V17-3,BASALT,48.12,-77.77,2700.0,ARCHEAN,2700.0,,2713.5,2720.0,0.528722048,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V17-3,BASALT,2700000000.0,2700000000.0,PALEO,,,,,BASALT,,,,,WR,51.7,0.86,,17.0,,,,7.47,7.65,7.6,0.17,,4.2,0.4,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,261.0,396.0,,,32.0,147.0,,,,,,,,14.0,385.0,,103.0,5.37,,,,,,,,,,,,1.0,219.0,8.1,20.05,2.56,12.5,2.7,0.81,3.14,0.43,2.61,0.54,1.69,,1.73,0.28,2.1,0.24,,,,,,,,,19.0,,1.05,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V54B,THOLEIITE,48.12,-77.77,2700.0,ARCHEAN,2700.0,2707.0,2713.5,2720.0,0.682599664,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Abitibi,,48.12,48.12,-77.77,-77.77,,,,V54B,THOLEIITE,2700000000.0,2700000000.0,PALEO,,,,,THOLEIITE,,,,,WR,50.4,0.99,,13.8,,,,15.21,6.89,4.7,0.27,,0.2,4.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,347.0,331.0,,,50.0,67.0,,,,,,,,16.0,82.0,,77.0,3.53,,,,,,,,,,,,49.4,188.0,4.42,12.1,1.65,8.39,2.67,0.79,3.78,0.77,6.31,1.57,5.07,,5.99,0.96,2.3,0.21,,,,,,,,,39.4,,0.46,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior Province,"AN ARCHEAN ARC BASALT-NB-ENRICHED BASALT-ADAKITE ASSOCIATION: THE 2.7 GA CONFEDERATION ASSEMBLAGE OF THE BIRCH-UCHI GREENSTONE BELT, SUPERIOR PROVINCE",SJV91-1A,BASALT,51.0,-91.0,2700.0,ARCHEAN,2700.0,2673.0,2700.0,2727.0,0.002655002,"AN ARCHEAN ARC BASALT-NB-ENRICHED BASALT-ADAKITE ASSOCIATION: THE 2.7 GA CONFEDERATION ASSEMBLAGE OF THE BIRCH-UCHI GREENSTONE BELT, SUPERIOR PROVINCE",ARCHEAN CRATON (INCLUDING GREENSTONE BELTS),Superior Province,,51.0,51.0,-91.0,-91.0,,,,SJV91-1A,BASALT,2700000000.0,2700000000.0,PALEO,,,,,BASALT,,,,,WR,48.02,2.97,,13.4,,,,16.26,7.97,3.84,0.34,,0.39,3.34,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,40.0,4.0,,,39.0,2.0,27.0,,,,,,,7.0,406.0,57.0,68.0,13.7,,,,,,,,,,,,0.0,137.0,27.05,69.81,10.03,48.23,12.56,4.5,14.03,1.95,11.39,2.24,5.74,,4.59,0.66,1.56,0.93,,,,,,,,,,,0.55,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
