Craton,REFERENCE,SAMPLE_ID,ROCK_NAME,LATITUDE,LONGITUDE,MIN_AGE,AGE,MAX_AGE,C_MIN_AGE,C_AGE,C_MAX_AGE,Arc_probability3,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,SC,V,CR,CO,NI,CU,ZN,GA,RB,SR,Y,ZR,NB,CS,BA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,TM,YB,LU,HF,TA,PB,TH,U
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",VB-1,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.003813402,53.3,0.89,13.4,13.05,0.25,4.9,8.46,3.2,0.1,0.09,84,428,38,37,81,,,,0.7,94,,58,2.61,0.04,18,8.38,19.5,2.57,12.6,3.69,1.59,5.15,0.92,7.1,1.75,5.6,0.88,6.32,0.99,1.8,0.17,47,0.35,0.14
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",VA,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.084668271,50.9,0.97,13.6,15.66,0.3,6.3,6.36,3.3,,0.08,82,416,154,52,73,,,,0.3,26,,70,2.79,0.05,16,4.02,11.5,1.65,7.88,2.49,0.44,3.53,0.66,5.36,1.31,4.75,0.76,5.29,0.87,2,0.17,35,0.42,0.09
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V44-2,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.031693321,49.1,0.47,17.7,8.91,0.16,8.4,11.7,1.2,,0.03,40,255,135,42,75,,,,0.5,140,,23,1.16,0.04,7,1,2.49,0.37,2.08,0.61,0.26,0.88,0.16,1.26,0.32,1.27,0.21,1.58,0.26,0.5,0.06,12.2,0.15,0.06
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V17-2,BASALT,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.770442665,49.7,0.83,13.7,11.97,0.23,7.3,10.39,0.7,2.4,0.06,49,328,153,47,80,,,,25,526,,49,2.3,2,189,3.66,8.87,1.27,6.64,2.15,0.77,3.01,0.49,3.5,0.78,2.47,0.37,2.36,0.37,1.5,0.15,20.7,0.31,0.07
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V44-3,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.972293139,50.34,0.46,18.04,10.66,0.18,10.91,6.46,0.05,1.82,0.03,46,207,98,49,80,,,,2,99,,22,1.01,,32,1.34,3.39,0.44,2.27,0.66,0.38,0.94,0.18,1.62,0.37,1.36,0.25,1.78,0.3,0.63,0.06,11.44,0.15,0.15
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V53,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.883591831,47.9,0.44,18.8,9.09,0.19,9.3,10.7,2.1,0.2,0.03,40,151,219,107,231,,,,6,187,,24,1.08,0.35,39,1.66,4.32,0.61,3.12,0.95,0.39,1.3,0.22,1.79,0.43,1.49,0.26,1.91,0.28,0.7,0.08,9.6,0.15,0.03
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V47,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.726993024,47.8,0.27,17.5,9,0.19,11.4,8.29,2.4,0.8,0.02,66,165,179,37,295,,,,36.6,176,,19,0.78,1.61,161,1.54,3.41,0.48,2.37,0.65,0.31,1.06,0.18,1.61,0.38,1.35,0.22,1.6,0.25,0.5,0.05,9.6,0.14,0.05
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V17-3,BASALT,48.12,-77.77,2700,2700,2700,,2713.5,2720,0.528722048,51.7,0.86,17,7.47,0.17,7.6,7.65,0.4,4.2,0.13,38,261,396,32,147,,,,14,385,,103,5.37,1,219,8.1,20.05,2.56,12.5,2.7,0.81,3.14,0.43,2.61,0.54,1.69,0.26,1.73,0.28,2.1,0.24,19,1.05,0.27
Abitibi,"A 2.7 GA DEPLETED THOLEIITE SUITE: EVIDENCE OF PLUME-ARC INTERACTION IN THE ABITIBI GREENSTONE BELT, CANADA",V54B,THOLEIITE,48.12,-77.77,2700,2700,2700,2707,2713.5,2720,0.682599664,50.4,0.99,13.8,15.21,0.27,4.7,6.89,4.3,0.2,0.1,75,347,331,50,67,,,,16,82,,77,3.53,49.4,188,4.42,12.1,1.65,8.39,2.67,0.79,3.78,0.77,6.31,1.57,5.07,0.86,5.99,0.96,2.3,0.21,39.4,0.46,0.1
Pilbara,A COMPARATIVE STUDY OF THE GEOCHEMICAL AND ISOTOPIC SYSTEMATICS OF LATE ARCHEAN FLOOD BASALTS FROM THE PILBARA AND KAAPVAAL CRATONS,GSWA42198,BASALT,-21.45,120.2,2690,2725,2760,2690,2725,2760,0.007750233,53.5,1.3,14.5,10.35,0.2,5.68,6.24,5.24,0.24,0.23,29,241,138,39,71,76,110,,6,115,24,150,7,,,12.9,27.9,,14.63,3.44,1.25,4.08,,3.96,0.92,2.63,,2.42,0.38,,,,2,0
